,psnr_mean,psnr_std,ssim_mean,ssim_std
y_005,27.832932934850398,3.25198786181733,0.8393929600715637,0.08411902189254761
y_010,27.50981481884343,3.212824375651431,0.8272339105606079,0.08676565438508987
y_050,26.31203682836717,3.0870767246398034,0.7640823125839233,0.10252406448125839
y_100,25.521663806495003,2.8774121633254905,0.7120888829231262,0.10290282219648361
