,psnr_mean,psnr_std,ssim_mean,ssim_std
y_005,28.3919948151364,3.3829324710446693,0.8553882837295532,0.07544281333684921
y_010,27.935493297763106,3.386155923940388,0.8371444344520569,0.0833740234375
y_050,26.646770568434807,3.2381470522594378,0.7769832611083984,0.10121103376150131
y_100,25.86504527629516,3.0322772064909604,0.7313875555992126,0.10553549975156784
