,psnr_mean,psnr_std,ssim_mean,ssim_std
y_005,28.814568112290598,3.723266440441989,0.856578155317802,0.07819463523441575
y_010,28.189230148091948,3.6658055604135584,0.8356994538348905,0.08696195838017794
y_050,26.728046534468216,3.4054621006456296,0.7724781900971761,0.10420267109476432
y_100,25.891180861589667,3.1399104387076724,0.7269762569665477,0.1072191176003825
